Nitin Saini,19.27,104.69
Nitish Rana,34,149.86
Owais Alam Shah,32.79,125.06
Padmaja Vasudevan Manikantan,25,127.55
Padmanabhan Prasanth,19,133.8
Paidikalva David Vijaykumar,6,120
Palani Amarnath,1,33.33
Pankaj Dharmani,9.4,111.9
Pankaj Singh,5.45,69.76
Paras Dogra,25.26,110.6
Pardeep Sahu,19.14,113.55
Parthiv Ajaybhai Patel,22.34,120
Parvez Rasool Zarghav,18.38,97.15
Parvinder Awana,4.4,51.16
Patangay Manikrao Sarvesh Kumar,1,50
Patrick James Cummins,6.58,90.8
Paul Chandrasekhar Valthaty,23.57,126.5
Paul David Collingwood,19.53,119.8
Pawan Negi,19.85,129.46
Pawan Suyal,0,0
Peter Stephen Patrick Handscomb,27.05,112.19
Pinal Rohitbhai Shah,15.36,110.55
Piyush Pramod Chawla,15.26,124.16
Pradeep Sangwan,7.23,91.26
Pragyan Prayish Ojha,4.23,68.57
Prasanth Parameswaran,7.5,75
Praveenkumar Sakat Singh,12.03,118.36
Pravin Vijay Tambe,9,53.73
Produturi Akshath Reddy,22.8,118.44
Quinton de Kock,33.95,135.49
Rahil Akhilahmed Shaikh,0,0
Rahul Artiprasad Shukla,9.83,109.25
Rahul Mahesh Yadav,4.75,63.33
Rahul Sharad Dravid,27.51,113.87
Rahul Sharma,5.03,98.49
Rahul Tewatia,16,123.07
Raiphi Vincent Gomez,23.61,130.48
Rajagopal Sathish,19.05,129.51
Rajat Bhatia,22.21,118.51
Rajesh Kinyaram Bishnoi,20.71,149.48
Rajesh Vithal Pawar,2.33,50
Raju Ravi Bhatkal,9.55,102.38
Ramesh Rajaram Powar,18,102.85
Ramnaresh Ronnie Sarwan,19.3,103.81
Ramsawamy Shreyas Gopal,17.16,117.04
Ranadeb Ranjit Bose,3.5,140
Ranganath Vinay Kumar,12.74,122.04
Ravichandran Ashwin,13.94,109.21
Ravinder Singh Bopara,27.48,119.59
Ravindranath Rampaul,9.68,101.3
Ravindrasinh Anirudhsinh Jadeja,20.96,121.66
Raymond William Price,7.25,79.09
Reetinder Singh Sodhi,5,81.81
Richard Ernst Levi,28.16,142.95
Ricky Thomas Ponting,22.72,110.98
Rilee Roscoe Rossouw,26.78,129.91
Rishabh Rajendra Panth,24.75,130.26
Rishi Dhawan,27.43,110.17
Robert John Quiney,16.93,115.25
Robin John Peterson,16.41,111.6
Robin Venu Uthappa,29.41,132.74
Roelof Erasmus van der Merwe,20.3,128.23
Rohan Ravindra Raje,3.85,96.42
Rohan Sunil Gavaskar,16.14,99.12
Rohit Gurunath Sharma,33.38,131.68
Ronit Gajanan More,5,62.5
Rudra Pratap Singh,4.32,72.97
Rujul Haren Bhatt,18.57,106.84
Ryan James Harris,10.86,103.91
Ryan McLaren,19.79,110.94
Ryan Neil ten Doeschate,29.34,135.87
Ryan Ninan,3,50
Sachin Baby,19.61,130.78
Sachin Ramesh Tendulkar,32.9,121.13
Sachin Rana,22.55,111.41
Sahibzada Mohammad Shahid Khan Afridi,19.02,155.7
Salman Butt,33.07,111.27
Samuel Badree,12.72,86.95
Samuel William Billings,19.92,122.08
Sanath Teran Jayasuriya,22.71,140.08
Sandeep Sharma,20,66.66
Sanjay Bapusaheb Bangar,15.24,124.5
Sanju Viswanath Samson,25.48,118.32
Sarabjit Singh Ladda,2.5,41.66
Sarfaraz Naushad Khan,24.8,168.7
Sarul Kanwar,23.52,128.2
Saurabh Sunil Tiwary,30.3,121.87
Saurabh Sushant Bandekar,13.39,103.7
Sayed Iqbal Abdulla,13.75,98.8
Scott Bernard Styris,25.76,134.58
Scott Michael Boland,17,113.33
Sean Anthony Abbott,9.54,98.7
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,10.36,93.5
Separamadu Lasith Malinga Swarnajith,6.83,97.95
Shadab Bashir Jakati,9.93,105.67
Shahbaz Nadeem,8.85,88.57
Shakib Al Hasan,20.84,122.87
Shalabh Jagdishprasad Srivastava,2,85.71
Shane Edward Bond,4,103.22
Shane Keith Warne,9.54,92.1
Shane Michael Harwood,16.83,132.89
Shane Robert Watson,30.11,139.72
Shanthakumaran Sreesanth,9.12,76.84
Shardul Narendra Thakur,11,104.76
Shaun Edward Marsh,40.89,129.2
Shaun Maclean Pollock,21.07,141.89
Shaun William Tait,5.82,81.09
Shikhar Dhawan,30.7,119.38
Shivam Sharma,5.66,94.44
Shivil Kaushik,0,0
Shivnarine Chanderpaul,23.52,105.7
Shoaib Akhtar,5.35,98.68
Shoaib Malik,37.95,122.94
Shoaib Shabbir Shaikh,25.31,121.25
Shreevats Pratyush Goswami,19.04,94.3
Shreyas Santosh Iyer,24.12,127.36
Shrikant Bhaskar Wagh,13.92,102.84
Shrikant Shrihari Mundhe,10.33,118.32
Siddharth Dilip Chitnis,28.33,153.15
Siddharth Kaul,21,105
Siddharth Kishorkumar Trivedi,5.91,92.2
Simon Mathew Katich,30.28,126.55
Sohail Tanvir,16.28,120.44
Sourav Chandidas Ganguly,25.01,107
Sourav Subrata Sarkar,0,0
Sreenath Aravind,14.5,116
Sridharan Sriram,21.18,99.57
Stephen Paul Fleming,23.14,121.91
Steven Peter Devereux Smith,28.82,126.04
Stuart Terence Roger Binny,19.92,127.49
Subramaniam Badrinath,28.05,111.5
Sudeep Tyagi,5,71.42
Sumit Narwal,21.3,162.94
Sunil Bandacharya Joshi,19.5,90.69
Sunil Philip Narine,11.13,122.62
Sunny Singh,23.03,119.32
Sunny Sohal,18.92,116.93
Sunny Suresh Gupta,7.71,103.84
Suresh Kumar Raina,33.12,139
Suryakumar Ashok Yadav,22.26,129.45
Swapnil Ashok Asnodkar,23.5,121.55
Swapnil Kamlesh Singh,14.88,114.52
Syed Mohammad Shoaib Ahmed,0.5,16.66
Tabraiz Shamsi,4.85,54.83
Taduri Prakashchandra Sudhindra,12.5,94.93
Tanmay Manoj Srivastava,22.1,113.82
Tanmay Mishra,19.26,99.18
Taruwar Kohli,10.07,70.85
Tatenda Taibu,25.2,106.65
Tillakaratne Mudiyanselage Dilshan,27.04,122.79
Timil Kaushik Patel,5.5,78.57
Timothy David Paine,23.94,124.16
Timothy Grant Southee,10.25,147.98
Tirumalasetti Laxminarayana Suman,24.53,125.69
Travis Michael Head,30.26,148.49
Travis Rodney Birt,22.79,129.08
Trent Alexander Boult,4.14,61.7
Tyron Henderson,20.14,143.06
Uday Kaul,13,130
Udit Alok Birla,24.09,107.94
Umar Gul,8.84,105.15
Umeshkumar Tilak Yadav,9.75,121.87
Unmukt Chand,22,118.8
Usman Tariq Khawaja,31.93,124.7
