Varun Raymond Aaron
Veer Pratap Singh
Vidyut Sivaramakrishnan
Vijay Hari Zol
Vijay Shankar
Vijaykumar Yo Mahesh
Vikram Rajvir Singh
Vikramjeet Malik
Vikrant Shyam Yeligati
Virat Kohli
Virender Sehwag
Visvajitsinh Dilipsinh Solanki
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas
Wasim Jaffer
Wayne Dillon Parnell
Wilkin Arvind Mota
Wriddhaman Prasanta Saha
Xavier Thalaivan Sargunam
Yalaka Gnaneswara Rao
Yalaka Venugopal Rao
Yashpal Singh
Yogesh Nagar
Yogesh Vijay Takawale
Yusuf Adam Abdulla
Yusuf Khan Pathan
Yuvraj Singh
Yuzvendra Singh Chahal
Zaheer Khan
