Batsman_name,avgScore,avgStrikeRate,CLUSTER
Shadab Bashir Jakati,9.93,105.67,8
Shahbaz Nadeem,8.85,88.57,2
Shakib Al Hasan,20.84,122.87,0
Shalabh Jagdishprasad Srivastava,2,85.71,2
Shane Edward Bond,4,103.22,8
Shane Keith Warne,9.54,92.1,2
Shane Michael Harwood,16.83,132.89,4
Shane Robert Watson,30.11,139.72,3
Shanthakumaran Sreesanth,9.12,76.84,2
Shardul Narendra Thakur,11,104.76,8
Shaun Edward Marsh,40.89,129.2,7
Shaun Maclean Pollock,21.07,141.89,3
Shaun William Tait,5.82,81.09,2
Shikhar Dhawan,30.7,119.38,0
Shivam Sharma,5.66,94.44,2
Shivil Kaushik,0,0,1
Shivnarine Chanderpaul,23.52,105.7,8
Shoaib Akhtar,5.35,98.68,2
Shoaib Malik,37.95,122.94,7
Shoaib Shabbir Shaikh,25.31,121.25,0
Shreevats Pratyush Goswami,19.04,94.3,2
Shreyas Santosh Iyer,24.12,127.36,7
Shrikant Bhaskar Wagh,13.92,102.84,8
Shrikant Shrihari Mundhe,10.33,118.32,4
Siddharth Dilip Chitnis,28.33,153.15,9
Siddharth Kaul,21,105,8
Siddharth Kishorkumar Trivedi,5.91,92.2,2
Simon Mathew Katich,30.28,126.55,7
Sohail Tanvir,16.28,120.44,4
Sourav Chandidas Ganguly,25.01,107,8
Sourav Subrata Sarkar,0,0,1
Sreenath Aravind,14.5,116,8
Sridharan Sriram,21.18,99.57,8
Stephen Paul Fleming,23.14,121.91,0
Steven Peter Devereux Smith,28.82,126.04,7
Stuart Terence Roger Binny,19.92,127.49,4
Subramaniam Badrinath,28.05,111.5,0
Sudeep Tyagi,5,71.42,5
Sumit Narwal,21.3,162.94,9
Sunil Bandacharya Joshi,19.5,90.69,2
Sunil Philip Narine,11.13,122.62,4
Sunny Singh,23.03,119.32,0
Sunny Sohal,18.92,116.93,0
Sunny Suresh Gupta,7.71,103.84,8
Suresh Kumar Raina,33.12,139,3
Suryakumar Ashok Yadav,22.26,129.45,7
Swapnil Ashok Asnodkar,23.5,121.55,0
Swapnil Kamlesh Singh,14.88,114.52,8
Syed Mohammad Shoaib Ahmed,0.5,16.66,1
Tabraiz Shamsi,4.85,54.83,5
Taduri Prakashchandra Sudhindra,12.5,94.93,2
Tanmay Manoj Srivastava,22.1,113.82,0
Tanmay Mishra,19.26,99.18,8
Taruwar Kohli,10.07,70.85,5
Tatenda Taibu,25.2,106.65,8
Tillakaratne Mudiyanselage Dilshan,27.04,122.79,0
Timil Kaushik Patel,5.5,78.57,2
Timothy David Paine,23.94,124.16,0
Timothy Grant Southee,10.25,147.98,9
Tirumalasetti Laxminarayana Suman,24.53,125.69,7
Travis Michael Head,30.26,148.49,3
Travis Rodney Birt,22.79,129.08,7
Trent Alexander Boult,4.14,61.7,5
Tyron Henderson,20.14,143.06,3
Uday Kaul,13,130,4
Udit Alok Birla,24.09,107.94,8
Umar Gul,8.84,105.15,8
Umeshkumar Tilak Yadav,9.75,121.87,4
Unmukt Chand,22,118.8,0
Usman Tariq Khawaja,31.93,124.7,7
Vangipurappu Venkata Sai Laxman,22.31,114.71,0
Varun Raymond Aaron,11.83,87.65,2
Veer Pratap Singh,0.5,33.33,1
Vidyut Sivaramakrishnan,20.5,129.74,4
Vijay Hari Zol,27.09,122.63,0
Vijay Shankar,10.58,98.44,2
Vijaykumar Yo Mahesh,8.6,94.5,2
Vikram Rajvir Singh,13,125.8,4
Vikramjeet Malik,12.6,113.17,8
Vikrant Shyam Yeligati,6,120,4
Virat Kohli,41.69,133.09,7
Virender Sehwag,26.89,147.83,3
Visvajitsinh Dilipsinh Solanki,14.83,136.92,4
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,18.16,110.52,8
